method,K,metric,better,estimate,ci_low,ci_high,training_replicates,ci_definition,evidence
No predicted-intent gating,6,MR_1 at 2 m,lower,0.9705,0.9662386031731232,0.9747613968268769,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,minADE_6 (m),lower,5.0744246328347895,4.580394295325154,5.568454970344425,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,minFDE_6 (m),lower,8.16595975904032,6.781404864169719,9.55051465391092,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,MR_6 at 2 m,lower,0.828,0.8149925963139103,0.8410074036860896,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,6,Brier-minFDE_6,lower,8.86280129647045,7.480880144480457,10.244722448460442,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,Synthetic dominant-maneuver macro-F1,higher,0.9170132543403067,0.9141245997461886,0.9199019089344247,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,ADE_1 (m),lower,4.351759518818669,4.3053019179661645,4.398217119671174,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,FDE_1 (m),lower,7.6385724644917925,7.551273578424232,7.725871350559353,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,MR_1 at 2 m,lower,0.789875,0.7843074770342868,0.7954425229657132,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,minADE_6 (m),lower,,,,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,minFDE_6 (m),lower,,,,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,MR_6 at 2 m,lower,,,,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,1,Brier-minFDE_6,lower,,,,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
