method,regime,metric,better,estimate,ci_low,ci_high,training_replicates,ci_definition,evidence
Full temporal graph,spatial,MR_K at 2 m,lower,0.2820224719101124,0.2742316623871616,0.28981328143306323,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Full temporal graph,spatial,Brier-minFDE_K,lower,2.328686405582139,2.2731433690076543,2.3842294421566232,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,history_dependent,minADE_K (m),lower,1.3398001517743303,1.2651451825876354,1.4144551209610252,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,history_dependent,minFDE_K (m),lower,2.006925459230217,1.8646113522597116,2.149239566200722,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,history_dependent,MR_K at 2 m,lower,0.35563909774436087,0.33770139110153585,0.3735768043871859,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,history_dependent,Brier-minFDE_K,lower,2.5225467185191093,2.378673605301132,2.6664198317370866,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,independent,minADE_K (m),lower,1.539040821784393,1.5024432576502522,1.5756383859185337,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,independent,minFDE_K (m),lower,2.456540188572881,2.384032986918227,2.5290473902275346,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,independent,MR_K at 2 m,lower,0.31385767790262176,0.3046802238861948,0.3230351319190487,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,independent,Brier-minFDE_K,lower,2.9641983070538283,2.8909947873709525,3.037401826736704,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,spatial,minADE_K (m),lower,1.1628058882410761,1.1260415043234917,1.1995702721586605,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,spatial,minFDE_K (m),lower,1.6566830623521518,1.5906930007173292,1.7226731239869744,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,spatial,MR_K at 2 m,lower,0.2891385767790262,0.2803155993769815,0.29796155418107095,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No graph,spatial,Brier-minFDE_K,lower,2.17101706127786,2.1052943280584206,2.2367397944972995,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,history_dependent,minADE_K (m),lower,4.845231589923481,4.375570292818231,5.314892887028731,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,history_dependent,minFDE_K (m),lower,7.841266343938921,6.53025372126738,9.152278966610462,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,history_dependent,MR_K at 2 m,lower,0.8281954887218046,0.8093468434902419,0.8470441339533673,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,history_dependent,Brier-minFDE_K,lower,8.537983020718771,7.229665321766007,9.846300719671536,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,independent,minADE_K (m),lower,5.225371558033535,4.672657962793728,5.7780851532733415,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,independent,minFDE_K (m),lower,8.477012536532433,6.989042332955288,9.964982740109578,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,independent,MR_K at 2 m,lower,0.8243445692883894,0.8114365537940889,0.8372525847826899,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,independent,Brier-minFDE_K,lower,9.17410917433285,7.688632703196805,10.659585645468894,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,spatial,minADE_K (m),lower,5.151812349637571,4.687767216537581,5.615857482737561,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,spatial,minFDE_K (m),lower,8.178384316443232,6.818333392853795,9.538435240032669,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,spatial,MR_K at 2 m,lower,0.8314606741573035,0.8163573245777456,0.8465640237368615,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
No predicted-intent gating,spatial,Brier-minFDE_K,lower,8.875095146510466,7.517785880065412,10.23240441295552,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,history_dependent,minADE_K (m),lower,3.4874613082525245,3.4772480670074692,3.49767454949758,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,history_dependent,minFDE_K (m),lower,5.93534087239634,5.916270110313933,5.954411634478747,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,history_dependent,MR_K at 2 m,lower,0.7849624060150375,0.7787776387852062,0.7911471732448688,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,history_dependent,Brier-minFDE_K,lower,5.93534087239634,5.916270110313933,5.954411634478747,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,independent,minADE_K (m),lower,5.391298216863168,5.237868836140167,5.54472759758617,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,independent,minFDE_K (m),lower,9.612658362451278,9.3168597435155,9.908456981387054,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,independent,MR_K at 2 m,lower,0.8131086142322097,0.8042270716193062,0.8219901568451132,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,independent,Brier-minFDE_K,lower,9.612658362451278,9.3168597435155,9.908456981387054,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,spatial,minADE_K (m),lower,4.173281959390634,4.111538482759677,4.235025436021591,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,spatial,minFDE_K (m),lower,7.361339014088079,7.2409163410004025,7.481761687175756,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,spatial,MR_K at 2 m,lower,0.7715355805243446,0.7656115594299769,0.7774596016187122,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Single mode K=1,spatial,Brier-minFDE_K,lower,7.361339014088079,7.2409163410004025,7.481761687175756,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,history_dependent,minADE_K (m),lower,1.5158330228345718,1.4438268569905184,1.5878391886786252,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,history_dependent,minFDE_K (m),lower,2.351795509541895,2.21041528762118,2.49317573146261,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,history_dependent,MR_K at 2 m,lower,0.35037593984962406,0.33366273382922096,0.36708914587002717,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,history_dependent,Brier-minFDE_K,lower,2.869155217829726,2.728176863363423,3.010133572296029,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,independent,minADE_K (m),lower,1.5488460586417667,1.5073287520236274,1.590363365259906,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,independent,minFDE_K (m),lower,2.475965113559677,2.4037246089204425,2.548205618198912,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,independent,MR_K at 2 m,lower,0.31498127340823967,0.30601037701036055,0.3239521698061188,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,independent,Brier-minFDE_K,lower,2.984373931768881,2.9130990599471653,3.0556488035905964,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,spatial,minADE_K (m),lower,1.1481935042324516,1.124263795709267,1.1721232127556362,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,spatial,minFDE_K (m),lower,1.6276803292978665,1.5680937926349012,1.6872668659608319,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,spatial,MR_K at 2 m,lower,0.28202247191011237,0.27130179399734355,0.2927431498228812,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
Spatial-only graph,spatial,Brier-minFDE_K,lower,2.1319055869535104,2.0728258184831443,2.1909853554238765,10,95% t CI across independent training-sample replicates; fixed test scenes,"Controlled synthetic mechanism validation only; not CARLA, nuScenes, RADIATE, Argoverse 2, real-weather, or real-world evidence."
